,ID Банкомата,Адрес строкой RU,coord,coord_x,0,1
37,ATM50211,Область Брянская Город Брянск Улица 3 Интернационала Дом 8,"<[OK] Yandex - Geocode [Russia, Bryansk, ulitsa 3 Internatsionala, 8]>","['53.307939', '34.301828']",53.307939,34.301828
38,ATM50218,Область Самарская Город Тольятти Улица Комсомольская Дом 76,"<[OK] Yandex - Geocode [Russia, Samara Region, Tolyatti, Komsomolskaya ulitsa, 76]>","['53.519311', '49.416485']",53.519311,49.416485
39,ATM50219,Республика Мордовия Город Саранск Улица Коммунистическая Дом 34,"<[OK] Yandex - Geocode [Russia, Republic of Mordovia, Saransk, Kommunisticheskaya Street, 34]>","['54.183997', '45.184657']",54.183997,45.184657
40,ATM50232,Область Волгоградская Город Волжский Проспект Ленина Дом 43,"<[OK] Yandex - Geocode [Russia, Volgograd Region, Volzhsky, prospekt imeni Lenina, 43]>","['48.799956', '44.743764']",48.799956,44.743764
41,ATM50233,Область Пензенская Город Пенза Проспект Строителей Дом 1-В,"<[OK] Yandex - Geocode [Russia, Penza, Stroiteley Avenue, 1В]>","['53.22053', '44.95167']",53.22053,44.95167
42,ATM50234,Область Московская Город Коломна Улица Цементников Дом 1,"<[OK] Yandex - Geocode [Russia, Moscow Region, Kolomna, ulitsa Tsementnikov, 1]>","['55.060106', '38.839578']",55.060106,38.839578
43,ATM50237,Область Томская Город Томск Улица Иркутский тракт Дом 26,"<[OK] Yandex - Geocode [Russia, Tomsk, Irkutskiy trakt, 26]>","['56.502832', '85.006345']",56.502832,85.006345
44,ATM50238,Республика Татарстан Район Альметьевский Город Альметьевск Улица Ленина Дом 33,"<[OK] Yandex - Geocode [Russia, Republic of Tatarstan, Almetyevsk, ulitsa Lenina, 33]>","['54.901823', '52.299251']",54.901823,52.299251
45,ATM50239,Область Калининградская Город Калининград Проспект Ленинский Дом 30А,"<[OK] Yandex - Geocode [Russia, Kaliningrad, Leninskiy Avenue, 30А]>","['54.711515', '20.507298']",54.711515,20.507298
46,ATM50240,Область Томская Город Томск Проспект Мира Дом 26,"<[OK] Yandex - Geocode [Russia, Tomsk, prospekt Mira, 26]>","['56.510194', '84.968993']",56.510194,84.968993
47,ATM50243,Республика Тыва Город Кызыл Улица Ленина Дом 32,"<[OK] Yandex - Geocode [Russia, Republic of Tyva, Kyzyl, ulitsa Lenina, 32]>","['51.721128', '94.438817']",51.721128,94.438817
48,ATM50244,Область Рязанская Город Рязань Шоссе Московское Дом 21,"<[OK] Yandex - Geocode [Russia, Ryazan, Moskovskoye shosse, 21]>","['54.634365', '39.6888']",54.634365,39.6888
49,ATM50245,Область Саратовская Город Вольск Улица Цементников Дом 1,"<[OK] Yandex - Geocode [Russia, Saratov Region, Volsk, ulitsa Tsementnikov, 1]>","['52.047086', '47.439258']",52.047086,47.439258
50,ATM50246,Область Саратовская Город Вольск Улица Цементников Дом 1,"<[OK] Yandex - Geocode [Russia, Saratov Region, Volsk, ulitsa Tsementnikov, 1]>","['52.047086', '47.439258']",52.047086,47.439258
51,ATM50248,Область Костромская Район Костромской Город Кострома Улица Смоленская Дом 32,"<[OK] Yandex - Geocode [Russia, Kostroma, Smolenskaya ulitsa, 32]>","['57.764322', '40.940297']",57.764322,40.940297
52,ATM50250,Край Алтайский Город Барнаул Проспект Ленина Дом 102В,"<[OK] Yandex - Geocode [Russia, Altai Territory, Barnaul, Lenina Avenue, 102В]>","['53.36228', '83.764055']",53.36228,83.764055
53,ATM50260,Край Краснодарский Город Сочи Улица Орджоникидзе Дом 11,"<[OK] Yandex - Geocode [Russia, Krasnodar Territory, Sochi, Tsentralniy Microdistrict, Orgzhonikidze Street, 11]>","['43.577179', '39.725056']",43.577179,39.725056
54,ATM50262,Край Забайкальский Город Чита Улица Суворова Дом 1,"<[OK] Yandex - Geocode [Russia, Trans-Baikal Territory, Chita, ulitsa Suvorova, 1]>","['52.046704', '113.4491']",52.046704,113.4491
55,ATM50268,Область Владимирская Город Владимир Улица Полины Осипенко Дом 62а,"<[OK] Yandex - Geocode [Russia, Vladimir, ulitsa Poliny Osipenko, 62]>","['56.159935', '40.410866']",56.159935,40.410866
56,ATM50273,Край Хабаровский Город Хабаровск Улица Ленина Дом 43 А,"<[OK] Yandex - Geocode [Russia, Khabarovsk, Lenina Street, 43А]>","['48.476114', '135.080801']",48.476114,135.080801
57,ATM50297,Республика Татарстан Город Казань Улица Проспект Ямашева Дом 82,"<[OK] Yandex - Geocode [Russia, Republic of Tatarstan, City of Kazan, Yamasheva Avenue, 82]>","['55.82759', '49.145536']",55.82759,49.145536
58,ATM50298,Республика Татарстан Город Елабуга Улица Ш-2 Строение к4/1,"<[OK] Yandex - Geocode [Russia, Republic of Tatarstan]>","['55.350336', '50.911013']",55.350336,50.911013
59,ATM50307,Область Мурманская Город Мурманск Проезд Портовый Дом 31,"<[OK] Yandex - Geocode [Russia, Murmansk, Portovy proyezd, 31]>","['68.973666', '33.064955']",68.973666,33.064955
60,ATM50316,Город Москва Проспект Ленинградский Дом 39/3,"<[OK] Yandex - Geocode [Russia, Moscow, Leningradskiy Avenue, 39с3]>","['55.789239', '37.542994']",55.789239,37.542994
61,ATM50317,Город Москва Улица Новослободская Дом 23,"<[OK] Yandex - Geocode [Russia, Moscow, Novoslobodskaya Street, 23]>","['55.781398', '37.598528']",55.781398,37.598528
