bank;level;is_walk_in;bucket;REP_MONTH;GEN_MONTH;prod_type;CLIENT_CATEGORY_BUDGET;NUM;VAR;NUM_REG;VAR_REG
RB;1;1;Cumulative 1-180 Consumer;2017-02-01 00:00:00.000;2016-08-01 00:00:00.000;Consumer;Walk-in;12490;1848036781.08;12176;1786898914
RB;1;1;Cumulative 1-180 Consumer;2017-03-01 00:00:00.000;2016-09-01 00:00:00.000;Consumer;Walk-in;11625;1698694851.84;11374;1652532891
RB;1;1;Cumulative 1-180 Consumer;2017-04-01 00:00:00.000;2016-10-01 00:00:00.000;Consumer;Walk-in;11045;1608436005.63;10808;1561100404
RB;1;1;Cumulative 1-180 Consumer;2017-05-01 00:00:00.000;2016-11-01 00:00:00.000;Consumer;Walk-in;10370;1508873398.02;10092;1449797574
RB;1;1;Cumulative 1-180 Consumer;2017-06-01 00:00:00.000;2016-12-01 00:00:00.000;Consumer;Walk-in;9612;1408911543.87;9361;1362276801
RB;1;1;Cumulative 1-180 Consumer;2017-07-01 00:00:00.000;2017-01-01 00:00:00.000;Consumer;Walk-in;9273;1343638501.76;9031;1300223669
RB;1;1;Cumulative 1-180 Consumer;2017-08-01 00:00:00.000;2017-02-01 00:00:00.000;Consumer;Walk-in;9034;1287409390.33;8770;1238110803
RB;1;1;Cumulative 1-180 Consumer;2017-09-01 00:00:00.000;2017-03-01 00:00:00.000;Consumer;Walk-in;8674;1227190262.96;8473;1193673370
RB;1;1;Cumulative 1-180 Consumer;2017-10-01 00:00:00.000;2017-04-01 00:00:00.000;Consumer;Walk-in;7598;1053710243.95;7430;1025584088
RB;1;1;Cumulative 1-180 Consumer;2017-11-01 00:00:00.000;2017-05-01 00:00:00.000;Consumer;Walk-in;8509;1207003227.19;8323;1172739604
RB;1;1;Cumulative 1-180 Consumer;2017-12-01 00:00:00.000;2017-06-01 00:00:00.000;Consumer;Walk-in;7416;1054235101.10;7229;1017867556
RB;1;1;Cumulative 1-180 Consumer;2018-01-01 00:00:00.000;2017-07-01 00:00:00.000;Consumer;Walk-in;6947;976167339.37;6780;949142199,1
RB;1;1;Cumulative 1-180 Consumer;2018-02-01 00:00:00.000;2017-08-01 00:00:00.000;Consumer;Walk-in;6711;994968890.72;6564;970262072,4
RB;1;0;Cumulative 1-180 Consumer;2017-02-01 00:00:00.000;2016-08-01 00:00:00.000;Consumer;Bona-fide;25367;4598270373.00;24899;4507690268
RB;1;0;Cumulative 1-180 Consumer;2017-02-01 00:00:00.000;2016-08-01 00:00:00.000;Consumer;Consumer;57;1997731.62;54;1957128,54
RB;1;0;Cumulative 1-180 Consumer;2017-02-01 00:00:00.000;2016-08-01 00:00:00.000;Consumer;Payroll;16398;2540059107.68;16185;2509986421
RB;1;0;Cumulative 1-180 Consumer;2017-03-01 00:00:00.000;2016-09-01 00:00:00.000;Consumer;Bona-fide;24337;4546273349.67;23924;4456905430
RB;1;0;Cumulative 1-180 Consumer;2017-03-01 00:00:00.000;2016-09-01 00:00:00.000;Consumer;Consumer;36;1818231.46;35;1797096,51
RB;1;0;Cumulative 1-180 Consumer;2017-03-01 00:00:00.000;2016-09-01 00:00:00.000;Consumer;Payroll;15793;2492852135.68;15603;2457778704
RB;1;0;Cumulative 1-180 Consumer;2017-04-01 00:00:00.000;2016-10-01 00:00:00.000;Consumer;Bona-fide;23582;4444489533.04;23169;4356541149
RB;1;0;Cumulative 1-180 Consumer;2017-04-01 00:00:00.000;2016-10-01 00:00:00.000;Consumer;Consumer;43;2028525.06;42;1426635,04
RB;1;0;Cumulative 1-180 Consumer;2017-04-01 00:00:00.000;2016-10-01 00:00:00.000;Consumer;Payroll;14928;2334856002.33;14733;2304792882
RB;1;0;Cumulative 1-180 Consumer;2017-05-01 00:00:00.000;2016-11-01 00:00:00.000;Consumer;Bona-fide;23660;4503403494.21;23220;4410178401
RB;1;0;Cumulative 1-180 Consumer;2017-05-01 00:00:00.000;2016-11-01 00:00:00.000;Consumer;Consumer;38;1428775.76;37;1424809,72
RB;1;0;Cumulative 1-180 Consumer;2017-05-01 00:00:00.000;2016-11-01 00:00:00.000;Consumer;Payroll;14419;2336468561.36;14214;2304207588
RB;1;0;Cumulative 1-180 Consumer;2017-06-01 00:00:00.000;2016-12-01 00:00:00.000;Consumer;Bona-fide;22080;4268729603.31;21634;4165049051
RB;1;0;Cumulative 1-180 Consumer;2017-06-01 00:00:00.000;2016-12-01 00:00:00.000;Consumer;Consumer;24;600134.86;24;600134,86
RB;1;0;Cumulative 1-180 Consumer;2017-06-01 00:00:00.000;2016-12-01 00:00:00.000;Consumer;Payroll;13150;2116287400.56;12940;2079374476
RB;1;0;Cumulative 1-180 Consumer;2017-07-01 00:00:00.000;2017-01-01 00:00:00.000;Consumer;Bona-fide;22072;4310309210.32;21599;4211689543
RB;1;0;Cumulative 1-180 Consumer;2017-07-01 00:00:00.000;2017-01-01 00:00:00.000;Consumer;Consumer;30;772613.71;30;772613,71
RB;1;0;Cumulative 1-180 Consumer;2017-07-01 00:00:00.000;2017-01-01 00:00:00.000;Consumer;Payroll;12924;2091268572.97;12680;2051428860
RB;1;0;Cumulative 1-180 Consumer;2017-08-01 00:00:00.000;2017-02-01 00:00:00.000;Consumer;Bona-fide;21800;4331260000.43;21324;4227944692
RB;1;0;Cumulative 1-180 Consumer;2017-08-01 00:00:00.000;2017-02-01 00:00:00.000;Consumer;Consumer;28;1545235.98;27;1531932,25
RB;1;0;Cumulative 1-180 Consumer;2017-08-01 00:00:00.000;2017-02-01 00:00:00.000;Consumer;Payroll;12430;1969041849.48;12221;1933641775
RB;1;0;Cumulative 1-180 Consumer;2017-09-01 00:00:00.000;2017-03-01 00:00:00.000;Consumer;Bona-fide;22027;4397732523.67;21552;4285138659
RB;1;0;Cumulative 1-180 Consumer;2017-09-01 00:00:00.000;2017-03-01 00:00:00.000;Consumer;Consumer;33;1483193.14;31;1358391,91
RB;1;0;Cumulative 1-180 Consumer;2017-09-01 00:00:00.000;2017-03-01 00:00:00.000;Consumer;Payroll;12486;2005929761.57;12300;1973247634
RB;1;0;Cumulative 1-180 Consumer;2017-10-01 00:00:00.000;2017-04-01 00:00:00.000;Consumer;Bona-fide;19892;4010594756.13;19477;3912778645
RB;1;0;Cumulative 1-180 Consumer;2017-10-01 00:00:00.000;2017-04-01 00:00:00.000;Consumer;Consumer;25;650904.17;22;489841,08
RB;1;0;Cumulative 1-180 Consumer;2017-10-01 00:00:00.000;2017-04-01 00:00:00.000;Consumer;Payroll;10824;1753135202.34;10646;1720858791
RB;1;0;Cumulative 1-180 Consumer;2017-11-01 00:00:00.000;2017-05-01 00:00:00.000;Consumer;Bona-fide;23629;4986483048.65;23169;4872119990
RB;1;0;Cumulative 1-180 Consumer;2017-11-01 00:00:00.000;2017-05-01 00:00:00.000;Consumer;Consumer;27;1780741.77;27;1780741,77
RB;1;0;Cumulative 1-180 Consumer;2017-11-01 00:00:00.000;2017-05-01 00:00:00.000;Consumer;Payroll;12730;2129632529.74;12537;2095807102
RB;1;0;Cumulative 1-180 Consumer;2017-12-01 00:00:00.000;2017-06-01 00:00:00.000;Consumer;Bona-fide;22056;4817541859.01;21618;4700338741
RB;1;0;Cumulative 1-180 Consumer;2017-12-01 00:00:00.000;2017-06-01 00:00:00.000;Consumer;Consumer;23;1197526.70;22;1145073,42
RB;1;0;Cumulative 1-180 Consumer;2017-12-01 00:00:00.000;2017-06-01 00:00:00.000;Consumer;Payroll;11615;1977621128.96;11421;1940193619
RB;1;0;Cumulative 1-180 Consumer;2018-01-01 00:00:00.000;2017-07-01 00:00:00.000;Consumer;Bona-fide;21912;4880911577.31;21474;4767534021
RB;1;0;Cumulative 1-180 Consumer;2018-01-01 00:00:00.000;2017-07-01 00:00:00.000;Consumer;Consumer;31;996332.33;31;996332,33
RB;1;0;Cumulative 1-180 Consumer;2018-01-01 00:00:00.000;2017-07-01 00:00:00.000;Consumer;Payroll;10670;1906178217.69;10528;1879718961
RB;1;0;Cumulative 1-180 Consumer;2018-02-01 00:00:00.000;2017-08-01 00:00:00.000;Consumer;Bona-fide;22623;5154416327.07;22211;5039489091
RB;1;0;Cumulative 1-180 Consumer;2018-02-01 00:00:00.000;2017-08-01 00:00:00.000;Consumer;Consumer;33;958767.22;33;958767,22
RB;1;0;Cumulative 1-180 Consumer;2018-02-01 00:00:00.000;2017-08-01 00:00:00.000;Consumer;Payroll;11083;2096284459.87;10903;2058148189
RB;1;0;Cumulative 1-30 Consumer;2018-03-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Bona-fide;20695;5227445223.85;19814;4987388512
RB;1;0;Cumulative 1-30 Consumer;2018-03-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Consumer;24;781650.50;24;781650,5
RB;1;0;Cumulative 1-30 Consumer;2018-03-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Payroll;9176;1933869014.25;8827;1863290110
RB;1;0;Cumulative 1-30 Consumer;2018-04-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Bona-fide;20586;5192394853.61;19805;4983118730
RB;1;0;Cumulative 1-30 Consumer;2018-04-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Consumer;27;814897.35;27;814897,35
RB;1;0;Cumulative 1-30 Consumer;2018-04-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Payroll;8876;1900155595.99;8549;1829676143
RB;1;0;Cumulative 1-30 Consumer;2018-05-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Bona-fide;19394;4867193418.46;18558;4647678506
RB;1;0;Cumulative 1-30 Consumer;2018-05-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Consumer;32;1017280.76;32;1017280,76
RB;1;0;Cumulative 1-30 Consumer;2018-05-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Payroll;8522;1869253099.99;8172;1792189925
RB;1;0;Cumulative 1-30 Consumer;2018-06-01 00:00:00.000;2018-05-01 00:00:00.000;Consumer;Bona-fide;23109;6022832969.84;22124;5770668744
RB;1;0;Cumulative 1-30 Consumer;2018-06-01 00:00:00.000;2018-05-01 00:00:00.000;Consumer;Consumer;27;797291.53;27;797291,53
RB;1;0;Cumulative 1-30 Consumer;2018-06-01 00:00:00.000;2018-05-01 00:00:00.000;Consumer;Payroll;10244;2326260767.51;9833;2231261160
RB;2;0;Cumulative 1-90 Consumer;2018-05-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Bona-fide;20695;5227445223.85;20196;5080773428
